Face_Index,Vertex_Coordinates,Red,Green,Blue
30,"(1.065446, 2.016518, 12.632135); (1.106852, 2.070679, 12.392998); (0.865054, 1.886368, 12.358705); (0.84024, 1.800728, 12.561478)",0.8,0.8,0.8
31,"(1.114197, 2.163757, 12.165763); (1.106852, 2.070679, 12.392998); (1.369635, 2.168961, 12.384755); (1.390066, 2.206993, 12.119689)",0.8,0.8,0.8
32,"(1.369635, 2.168961, 12.384755); (1.345604, 2.112289, 12.653817); (1.638741, 2.093285, 12.610296); (1.639607, 2.155006, 12.329213)",0.8,0.8,0.8
33,"(1.369635, 2.168961, 12.384755); (1.639607, 2.155006, 12.329213); (1.625009, 2.129135, 12.040349); (1.390066, 2.206993, 12.119689)",0.8,0.8,0.8
34,"(-4.024989, 1.017113, 13.733995); (-4.014871, 1.044785, 13.455807); (-4.090376, 0.818832, 13.435287); (-4.101728, 0.788078, 13.710998)",0.8,0.8,0.8
35,"(-4.109416, 0.613266, 13.138128); (-4.12698, 0.576401, 13.412276); (-4.090376, 0.818832, 13.435287); (-4.073308, 0.850281, 13.159986)",0.8,0.8,0.8
36,"(-4.090376, 0.818832, 13.435287); (-4.12698, 0.576401, 13.412276); (-4.139343, 0.542709, 13.686261); (-4.101728, 0.788078, 13.710998)",0.8,0.8,0.8
37,"(-3.99262, 1.068237, 13.179673); (-4.073308, 0.850281, 13.159986); (-4.090376, 0.818832, 13.435287); (-4.014871, 1.044785, 13.455807)",0.8,0.8,0.8
38,"(-3.926324, 1.206917, 14.040645); (-3.918725, 1.230965, 13.756611); (-4.024989, 1.017113, 13.733995); (-4.027983, 0.988281, 14.014205)",0.8,0.8,0.8
39,"(-4.024989, 1.017113, 13.733995); (-3.918725, 1.230965, 13.756611); (-3.898024, 1.249519, 13.476507); (-4.014871, 1.044785, 13.455807)",0.8,0.8,0.8
40,"(-4.024989, 1.017113, 13.733995); (-4.101728, 0.788078, 13.710998); (-4.100503, 0.759247, 13.987609); (-4.027983, 0.988281, 14.014205)",0.8,0.8,0.8
41,"(2.437251, 1.915833, 11.434042); (2.686122, 2.027687, 11.436679); (2.663298, 2.068604, 11.145651); (2.424291, 1.930138, 11.15157)",0.8,0.8,0.8
42,"(2.663298, 2.068604, 11.145651); (2.686122, 2.027687, 11.436679); (2.952529, 2.012222, 11.386289); (2.909742, 2.0224, 11.086043)",0.8,0.8,0.8
43,"(2.663298, 2.068604, 11.145651); (2.909742, 2.0224, 11.086043); (2.880508, 2.057175, 10.792096); (2.639756, 2.075081, 10.863486)",0.8,0.8,0.8
44,"(2.716476, 1.929909, 11.720922); (2.686122, 2.027687, 11.436679); (2.437251, 1.915833, 11.434042); (2.461239, 1.83754, 11.71257)",0.8,0.8,0.8
45,"(2.310072, 1.619812, 11.615872); (2.461239, 1.83754, 11.71257); (2.437251, 1.915833, 11.434042); (2.29436, 1.671478, 11.359028)",0.8,0.8,0.8
46,"(2.437251, 1.915833, 11.434042); (2.424291, 1.930138, 11.15157); (2.268984, 1.693161, 11.088475); (2.29436, 1.671478, 11.359028)",0.8,0.8,0.8
47,"(2.424291, 1.930138, 11.15157); (2.408175, 1.951431, 10.894151); (2.156043, 1.807419, 10.901595); (2.268984, 1.693161, 11.088475)",0.8,0.8,0.8
48,"(2.156043, 1.807419, 10.901595); (1.807906, 1.830132, 11.067592); (1.926161, 1.549721, 11.151585); (2.268984, 1.693161, 11.088475)",0.8,0.8,0.8
49,"(2.424291, 1.930138, 11.15157); (2.663298, 2.068604, 11.145651); (2.639756, 2.075081, 10.863486); (2.408175, 1.951431, 10.894151)",0.8,0.8,0.8
50,"(2.408175, 1.951431, 10.894151); (2.639756, 2.075081, 10.863486); (2.598708, 2.095245, 10.591849); (2.351705, 2.033363, 10.646832)",0.8,0.8,0.8
51,"(2.408175, 1.951431, 10.894151); (2.351705, 2.033363, 10.646832); (2.079515, 1.953178, 10.699654); (2.156043, 1.807419, 10.901595)",0.8,0.8,0.8
52,"(2.952529, 2.012222, 11.386289); (3.198653, 1.941994, 11.296195); (3.127725, 1.94326, 10.996178); (2.909742, 2.0224, 11.086043)",0.8,0.8,0.8
53,"(2.952529, 2.012222, 11.386289); (2.686122, 2.027687, 11.436679); (2.716476, 1.929909, 11.720922); (2.995113, 1.947647, 11.685163)",0.8,0.8,0.8
